transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank
dfa21054,2026-03-03,SJM,BUY,697,113.0,78761.0,106.22,135.6,SIGNAL,SIDEWAYS,78.7,"{""momentum"": 82.2, ""volatility"": 64.0, ""volume"": 99.5, ""relative_strength"": 72.8, ""mean_reversion"": 75.2, ""rsi"": 90.0, ""composite"": 78.7}",
2d484c82,2026-03-03,CIVI,BUY,1826,27.38,49995.88,25.74,32.86,SIGNAL,SIDEWAYS,67.3,"{""momentum"": 45.7, ""volatility"": 53.7, ""volume"": 100, ""relative_strength"": 45.6, ""mean_reversion"": 90.4, ""rsi"": 90.0, ""composite"": 67.3}",
7aef830a,2026-03-03,GILD,BUY,541,147.74,79927.34,138.88,177.29,SIGNAL,SIDEWAYS,66.0,"{""momentum"": 74.1, ""volatility"": 61.8, ""volume"": 44.1, ""relative_strength"": 51.9, ""mean_reversion"": 92.7, ""rsi"": 70.0, ""composite"": 66.0}",
6a73d474,2026-03-03,HAYW,BUY,3128,15.76,49297.28,14.81,18.92,SIGNAL,SIDEWAYS,66.4,"{""momentum"": 43.3, ""volatility"": 64.0, ""volume"": 81.5, ""relative_strength"": 57.2, ""mean_reversion"": 93.1, ""rsi"": 70.0, ""composite"": 66.4}",
972de936,2026-03-03,NTNX,BUY,1267,39.44,49970.48,37.07,47.33,SIGNAL,SIDEWAYS,62.5,"{""momentum"": 47.8, ""volatility"": 40.8, ""volume"": 92.2, ""relative_strength"": 51.1, ""mean_reversion"": 94.6, ""rsi"": 70.0, ""composite"": 62.5}",
a354d573,2026-03-03,INTU,BUY,60,430.85,25851.0,405.0,517.02,SIGNAL,SIDEWAYS,52.9,"{""momentum"": 29.8, ""volatility"": 40.1, ""volume"": 54.9, ""relative_strength"": 33.2, ""mean_reversion"": 84.2, ""rsi"": 90.0, ""composite"": 52.9}",
9792c969,2026-03-03,NET,BUY,215,174.71,37562.65,164.23,209.65,SIGNAL,SIDEWAYS,51.4,"{""momentum"": 43.3, ""volatility"": 23.5, ""volume"": 26.7, ""relative_strength"": 61.0, ""mean_reversion"": 92.0, ""rsi"": 70.0, ""composite"": 51.4}",
SELL_CIVI_2026-03-03,2026-03-03,CIVI,SELL,1826,27.38,49995.88,0.0,0.0,MANUAL,,,{},
cb40bbe2,2026-03-03,CIVI,BUY,1029,27.38,28174.02,25.74,32.86,SIGNAL,SIDEWAYS,67.3,"{""momentum"": 45.7, ""volatility"": 53.7, ""volume"": 100, ""relative_strength"": 45.6, ""mean_reversion"": 90.4, ""rsi"": 90.0, ""composite"": 67.3}",
370bf35e,2026-03-03,LPX,BUY,337,83.57,28163.09,78.56,100.28,SIGNAL,SIDEWAYS,47.6,"{""momentum"": 43.9, ""volatility"": 42.9, ""volume"": 43.1, ""relative_strength"": 34.4, ""mean_reversion"": 70.7, ""rsi"": 55.0, ""composite"": 47.6}",
0d6c192d,2026-03-03,MOS,BUY,1052,26.78,28172.56,25.17,32.14,SIGNAL,SIDEWAYS,47.8,"{""momentum"": 46.3, ""volatility"": 47.6, ""volume"": 62.3, ""relative_strength"": 31.6, ""mean_reversion"": 65.6, ""rsi"": 40.0, ""composite"": 47.8}",
6ee4ec67,2026-03-03,CATY,BUY,500,50.2,25100.0,47.19,60.24,SIGNAL,SIDEWAYS,54.0,"{""momentum"": 41.1, ""volatility"": 66.1, ""volume"": 52.3, ""relative_strength"": 40.2, ""mean_reversion"": 78.6, ""rsi"": 45.0, ""composite"": 54.0}",
e67ca7c0,2026-03-04,CRGY,BUY,5945,11.38,67683.82,10.7,13.66,SIGNAL,SIDEWAYS,71.0,"{""momentum"": 85.1, ""volatility"": 33.6, ""volume"": 95.7, ""relative_strength"": 81.5, ""mean_reversion"": 57.7, ""rsi"": 90.0, ""composite"": 71.0}",
a54f950c,2026-03-04,BMRN,BUY,467,60.25,28136.75,56.63,72.3,SIGNAL,SIDEWAYS,61.2,"{""momentum"": 64.2, ""volatility"": 43.0, ""volume"": 35.6, ""relative_strength"": 59.7, ""mean_reversion"": 97.9, ""rsi"": 70.0, ""composite"": 61.2}",
12532fba,2026-03-04,CE,BUY,541,52.07,28169.87,48.95,62.48,SIGNAL,SIDEWAYS,58.9,"{""momentum"": 66.1, ""volatility"": 36.1, ""volume"": 42.6, ""relative_strength"": 45.0, ""mean_reversion"": 82.4, ""rsi"": 90.0, ""composite"": 58.9}",
0792b00f,2026-03-04,EME,BUY,37,740.89,27412.93,696.44,889.07,SIGNAL,SIDEWAYS,63.6,"{""momentum"": 70.9, ""volatility"": 53.7, ""volume"": 61.0, ""relative_strength"": 61.4, ""mean_reversion"": 82.4, ""rsi"": 55.0, ""composite"": 63.6}",
05208a2f,2026-03-04,LRCX,BUY,125,223.64,27955.0,210.22,268.37,SIGNAL,SIDEWAYS,55.7,"{""momentum"": 70.4, ""volatility"": 28.2, ""volume"": 49.3, ""relative_strength"": 65.8, ""mean_reversion"": 81.8, ""rsi"": 45.0, ""composite"": 55.7}",
9d685af4,2026-03-04,MAR,BUY,178,337.67,60105.26,317.41,405.2,SIGNAL,SIDEWAYS,65.2,"{""momentum"": 65.2, ""volatility"": 62.8, ""volume"": 40.4, ""relative_strength"": 59.3, ""mean_reversion"": 91.1, ""rsi"": 70.0, ""composite"": 65.2}",
06ddb76a,2026-03-04,PCAR,BUY,302,124.23,37517.46,116.78,149.08,SIGNAL,SIDEWAYS,62.8,"{""momentum"": 56.7, ""volatility"": 68.7, ""volume"": 47.5, ""relative_strength"": 40.5, ""mean_reversion"": 93.1, ""rsi"": 70.0, ""composite"": 62.8}",
d17ef2cb,2026-03-04,PM,BUY,336,179.02,60150.72,168.28,214.82,SIGNAL,SIDEWAYS,59.2,"{""momentum"": 56.8, ""volatility"": 71.9, ""volume"": 42.5, ""relative_strength"": 46.8, ""mean_reversion"": 85.8, ""rsi"": 45.0, ""composite"": 59.2}",
d1df3174,2026-03-04,DAWN,BUY,1200,11.66,13992.0,10.96,13.99,SIGNAL,SIDEWAYS,51.1,"{""momentum"": 77.0, ""volatility"": 0, ""volume"": 41.2, ""relative_strength"": 50.9, ""mean_reversion"": 84.2, ""rsi"": 70.0, ""composite"": 51.1}",
14708988,2026-03-04,MMM,BUY,150,161.45,24217.5,151.76,193.74,SIGNAL,SIDEWAYS,53.3,"{""momentum"": 34.1, ""volatility"": 64.1, ""volume"": 47.6, ""relative_strength"": 45.4, ""mean_reversion"": 82.6, ""rsi"": 45.0, ""composite"": 53.3}",
eff77899,2026-03-04,NUE,BUY,150,177.01,26551.5,166.39,212.41,SIGNAL,SIDEWAYS,54.5,"{""momentum"": 50.4, ""volatility"": 63.9, ""volume"": 41.9, ""relative_strength"": 31.7, ""mean_reversion"": 82.8, ""rsi"": 55.0, ""composite"": 54.5}",
SELL_CIVI_2026-03-04,2026-03-04,CIVI,SELL,1029,27.38,28174.02,0.0,0.0,MANUAL,,,{},
9364bcad,2026-03-05,CIVI,BUY,1024,27.38,28037.12,25.74,32.86,SIGNAL,SIDEWAYS,68.6,"{""momentum"": 47.8, ""volatility"": 52.7, ""volume"": 100, ""relative_strength"": 52.2, ""mean_reversion"": 90.4, ""rsi"": 90.0, ""composite"": 68.6}",
94ea1291,2026-03-05,DOV,BUY,173,215.64,37305.72,202.7,258.77,SIGNAL,SIDEWAYS,54.8,"{""momentum"": 51.7, ""volatility"": 69.1, ""volume"": 49.4, ""relative_strength"": 47.9, ""mean_reversion"": 74.9, ""rsi"": 30.0, ""composite"": 54.8}",
99d58bf6,2026-03-05,TMO,BUY,72,518.89,37360.08,487.76,622.67,SIGNAL,SIDEWAYS,57.8,"{""momentum"": 27.9, ""volatility"": 69.2, ""volume"": 43.4, ""relative_strength"": 38.7, ""mean_reversion"": 99.4, ""rsi"": 70.0, ""composite"": 57.8}",
2fd8e943,2026-03-05,MU,BUY,150,397.05,59557.5,373.23,476.46,SIGNAL,SIDEWAYS,52.6,"{""momentum"": 67.8, ""volatility"": 11.4, ""volume"": 47.9, ""relative_strength"": 58.7, ""mean_reversion"": 88.8, ""rsi"": 55.0, ""composite"": 52.6}",
SELL_CIVI_2026-03-05,2026-03-05,CIVI,SELL,1024,27.38,28037.12,0.0,0.0,MANUAL,,,{},
a478eb0d,2026-03-05,CIVI,BUY,1024,27.38,28037.12,25.74,32.86,SIGNAL,SIDEWAYS,68.6,"{""momentum"": 47.8, ""volatility"": 52.7, ""volume"": 100, ""relative_strength"": 52.2, ""mean_reversion"": 90.4, ""rsi"": 90.0, ""composite"": 68.6}",
SELL_CIVI_2026-03-05,2026-03-05,CIVI,SELL,1024,27.38,28037.12,0.0,0.0,MANUAL,,,{},
9a35d382,2026-03-06,LPX,SELL,337,78.48,26447.76,,,STOP_LOSS,,,,
4103b778,2026-03-06,LRCX,SELL,125,209.57,26196.25,,,STOP_LOSS,,,,
fd035094,2026-03-06,PM,SELL,336,167.86,56400.96,,,STOP_LOSS,,,,
636ae9bd,2026-03-06,EME,SELL,18,709.56,12772.08,,,MANUAL,,,,
90be004a,2026-03-06,HAYW,SELL,1564,15.05,23538.2,,,MANUAL,,,,
ffa0b627,2026-03-06,SJM,SELL,348,109.45,38088.6,,,MANUAL,,,,
8bed6f7b,2026-03-06,CIVI,BUY,1225,27.38,33540.5,25.74,32.86,SIGNAL,SIDEWAYS,70.5,"{""momentum"": 47.8, ""volatility"": 52.7, ""volume"": 100, ""relative_strength"": 66.1, ""mean_reversion"": 90.4, ""rsi"": 90.0, ""composite"": 70.5}",
SELL_CIVI_2026-03-06,2026-03-06,CIVI,SELL,1225,27.38,33540.5,0.0,0.0,MANUAL,,,{},
2adc914a,2026-03-06,CIVI,BUY,1134,27.38,31048.92,25.74,32.86,SIGNAL,SIDEWAYS,70.5,"{""momentum"": 47.8, ""volatility"": 52.7, ""volume"": 100, ""relative_strength"": 66.1, ""mean_reversion"": 90.4, ""rsi"": 90.0, ""composite"": 70.5}",
8e95e445,2026-03-06,SJM,BUY,236,109.33,25801.88,102.77,131.2,SIGNAL,SIDEWAYS,62.3,"{""momentum"": 57.5, ""volatility"": 62.3, ""volume"": 36.3, ""relative_strength"": 65.9, ""mean_reversion"": 95.8, ""rsi"": 55.0, ""composite"": 62.3}",
SELL_CIVI_2026-03-06,2026-03-06,CIVI,SELL,1134,27.38,31048.92,0.0,0.0,MANUAL,,,{},
